iter	Accuracy	Logloss
310	0.7729076505	0.4848099144
311	0.7730500195	0.4847155427
312	0.7728357288	0.4846015889
313	0.7731982865	0.4843403582
314	0.7734830245	0.4839984835
315	0.7735549462	0.4839757325
316	0.773769237	0.4836864282
317	0.7744121093	0.4834577618
318	0.7746249256	0.4834017752
319	0.7746983218	0.4831469276
320	0.7744135838	0.4827700449
321	0.7749140871	0.4824587997
322	0.7753441431	0.4822425518
323	0.7754145904	0.4819225035
324	0.7752722214	0.4818552868
325	0.7760574627	0.4816792487
326	0.776555017	0.4815225807
327	0.7751283779	0.4812792125
328	0.7749860088	0.4809945759
329	0.7766284132	0.4806438129
330	0.7762013062	0.4803534575
331	0.7768412295	0.4802178476
332	0.7766254643	0.479874754
333	0.7767693078	0.479773263
334	0.7774841018	0.4794526164
335	0.7777673654	0.4793024918
336	0.7776969181	0.4791811082
337	0.7783412649	0.4788692514
338	0.7786979247	0.4786086719
339	0.7788432427	0.4782389223
340	0.7793452205	0.4779645343
341	0.779343746	0.4775715355
342	0.7797723275	0.4773686195
343	0.7795595112	0.4772440006
344	0.7801304618	0.4770491641
345	0.779773802	0.47684077
346	0.7802713563	0.476642139
347	0.7809142286	0.4764008213
348	0.7814191554	0.4762490606
349	0.7814910771	0.4761614141
350	0.7817038934	0.4760211326
351	0.7814896026	0.4758154311
352	0.7813487081	0.4756813536
353	0.7812767863	0.4753825726
354	0.7817083168	0.4750198104
355	0.7814235788	0.474619311
356	0.7811388407	0.4743784066
357	0.7817142147	0.4739248265
358	0.7812871077	0.4736480095
359	0.7815013985	0.473435048
360	0.7816437675	0.4732440261
361	0.7825699033	0.4730554501
362	0.7831408539	0.4727825844
363	0.7827797707	0.4725777228
364	0.7828516924	0.4724386495
365	0.7839216718	0.4720108181
366	0.7844207006	0.4718646059
367	0.7844926224	0.4717952983
368	0.7846349914	0.4715635579
369	0.7842768571	0.4712004125
370	0.7846335169	0.4710338891
371	0.7842798061	0.4706774876
372	0.7842783316	0.4705593331
373	0.7842798061	0.4702643936
374	0.7844940968	0.4700391866
375	0.7850679964	0.469638106
376	0.7849990236	0.4694184411
377	0.7855699741	0.4692657485
378	0.7862098975	0.468897081
379	0.7866399535	0.4686074176
380	0.7868542443	0.4683705373
381	0.7876365366	0.4680823792
382	0.7874192969	0.4678800755
383	0.7880665927	0.4676167532
384	0.788848885	0.4674241385
385	0.7888474105	0.4672438178
386	0.7886360687	0.4668807957
387	0.7883513307	0.466679796
388	0.7886390177	0.4664569806
389	0.7893552862	0.4662286757
390	0.7895681025	0.4660066014
391	0.7901390531	0.4658641985
392	0.7899966841	0.4657631703
393	0.7896400243	0.4653831624
394	0.7906425053	0.4652686065
395	0.7904282146	0.4651089868
396	0.7911415341	0.4647993774
397	0.7907114781	0.4645912967
398	0.7910710869	0.4644344105
399	0.7914292211	0.4641541009
400	0.7920691445	0.4639374043
401	0.7925711222	0.4635978919
402	0.792500675	0.4632961783
403	0.7924302277	0.4630949437
404	0.7922863842	0.4627932519
405	0.7934312343	0.462359432
406	0.7937864196	0.4618381437
407	0.7947140299	0.4615462944
408	0.7944322409	0.4613669593
409	0.7942164756	0.4612533102
410	0.7944322409	0.4609199805
411	0.7945746099	0.4607375904
412	0.7952894039	0.4603443333
413	0.7953628002	0.4601710965
414	0.7955800399	0.4599220708
415	0.7955095926	0.4596890166
416	0.7956534361	0.4594885103
417	0.794511535	0.4592841449
418	0.7943706405	0.4591798003
419	0.7952938274	0.4588015023
