iter	Passed	Remaining
574	21164	15643
575	21199	15605
576	21232	15565
577	21262	15524
578	21294	15483
579	21330	15446
580	21370	15411
581	21407	15375
582	21446	15339
583	21478	15299
584	21511	15259
585	21543	15219
586	21574	15179
587	21610	15141
588	21644	15103
589	21681	15067
590	21719	15030
591	21757	14994
592	21794	14958
593	21832	14922
594	21864	14882
595	21896	14842
596	21930	14804
597	21967	14767
598	22000	14728
599	22033	14689
600	22069	14651
601	22101	14611
602	22133	14572
603	22164	14531
604	22196	14491
605	22237	14457
606	22273	14421
607	22306	14382
608	22339	14342
609	22371	14302
610	22409	14267
611	22443	14228
612	22485	14195
613	22526	14161
614	22570	14129
615	22657	14123
616	22690	14084
617	22721	14044
618	22752	14004
619	22784	13964
620	22816	13925
621	22850	13886
622	22889	13851
623	22924	13813
624	22961	13777
625	22998	13740
626	23035	13703
627	23076	13669
628	23108	13630
629	23142	13591
630	23171	13550
631	23201	13509
632	23240	13474
633	23278	13438
634	23314	13401
635	23348	13363
636	23383	13325
637	23419	13288
638	23454	13250
639	23487	13211
640	23520	13172
641	23553	13134
642	23590	13097
643	23628	13061
644	23666	13025
645	23702	12988
646	23734	12949
647	23765	12909
648	23797	12870
649	23832	12832
650	23869	12796
651	23905	12759
652	23942	12722
653	23980	12687
654	24017	12650
655	24056	12615
656	24090	12576
657	24123	12538
658	24154	12498
659	24189	12461
660	24225	12424
661	24258	12385
662	24295	12349
663	24330	12311
664	24363	12273
665	24397	12235
666	24429	12196
667	24465	12159
668	24505	12124
669	24544	12088
670	24582	12052
671	24617	12015
672	24657	11980
673	24700	11947
674	24785	11933
675	24817	11894
676	24850	11856
677	24891	11821
678	24925	11783
679	24962	11747
680	24997	11709
681	25027	11669
682	25058	11630
683	25095	11593
684	25133	11557
685	25170	11521
686	25209	11485
687	25245	11448
688	25280	11411
689	25316	11374
690	25352	11336
691	25385	11298
692	25424	11263
693	25462	11227
694	25496	11189
695	25528	11150
696	25560	11111
697	25591	11072
698	25626	11035
699	25660	10997
700	25691	10958
701	25727	10921
702	25762	10883
703	25802	10848
704	25838	10811
705	25872	10773
706	25903	10735
707	25934	10696
708	25973	10660
709	26007	10622
710	26048	10587
711	26083	10550
712	26116	10512
713	26147	10473
714	26178	10434
715	26210	10396
716	26242	10357
717	26275	10319
718	26307	10281
719	26340	10243
720	26378	10207
721	26414	10170
722	26450	10133
723	26488	10097
724	26524	10060
725	26564	10025
726	26597	9987
727	26628	9949
728	26657	9909
729	26689	9871
730	26728	9835
731	26765	9799
732	26799	9762
733	26860	9734
734	26927	9708
735	26959	9670
736	26993	9632
737	27030	9596
738	27066	9559
739	27102	9522
740	27140	9486
741	27179	9450
742	27216	9414
743	27254	9378
744	27289	9340
745	27329	9305
746	27365	9268
747	27399	9230
748	27431	9192
749	27462	9154
750	27499	9117
751	27538	9081
752	27577	9046
753	27616	9010
754	27656	8974
755	27699	8940
756	27739	8904
757	27780	8869
758	27814	8831
759	27846	8793
760	27876	8755
761	27909	8717
762	27942	8679
763	27974	8641
764	28010	8604
765	28045	8567
766	28082	8531
767	28120	8494
768	28159	8458
769	28199	8423
770	28238	8387
771	28278	8351
772	28315	8315
773	28352	8278
774	28386	8241
775	28419	8203
776	28450	8165
777	28481	8127
778	28517	8090
779	28554	8053
780	28590	8016
781	28625	7980
782	28660	7943
783	28696	7906
784	28734	7870
785	28772	7833
786	28809	7797
787	28846	7760
788	28877	7722
789	28910	7684
790	28942	7647
791	28976	7609
792	29029	7577
793	29098	7549
794	29134	7512
795	29173	7476
796	29210	7440
797	29246	7403
798	29285	7367
799	29320	7330
800	29353	7292
801	29386	7255
802	29417	7216
803	29449	7179
804	29488	7143
805	29528	7107
806	29565	7070
807	29603	7034
808	29638	6997
809	29675	6960
810	29712	6924
811	29741	6885
812	29775	6848
813	29806	6810
814	29837	6772
815	29874	6736
816	29912	6700
817	29950	6663
818	29993	6628
819	30030	6592
820	30069	6555
821	30105	6519
822	30137	6481
823	30172	6444
824	30203	6406
825	30239	6369
826	30275	6333
827	30314	6297
828	30349	6260
829	30386	6223
830	30428	6188
831	30463	6151
832	30505	6115
833	30554	6081
834	30592	6045
835	30631	6009
836	30669	5972
837	30708	5936
838	30747	5900
839	30786	5864
840	30822	5827
841	30858	5790
842	30896	5754
843	30931	5717
844	30970	5680
845	31005	5644
846	31036	5606
847	31068	5568
848	31103	5531
849	31172	5500
850	31227	5467
851	31257	5429
852	31290	5392
853	31319	5354
854	31349	5316
855	31386	5279
856	31422	5243
857	31457	5206
858	31497	5170
859	31537	5134
860	31575	5097
861	31610	5060
862	31648	5024
863	31692	4988
864	31729	4951
865	31769	4915
866	31804	4878
867	31840	4842
868	31878	4805
869	31912	4768
870	31953	4732
871	31986	4695
872	32019	4658
873	32052	4620
874	32086	4583
875	32128	4547
876	32170	4511
877	32206	4475
878	32240	4438
879	32278	4401
880	32323	4366
881	32367	4330
882	32401	4293
883	32441	4257
884	32481	4220
885	32514	4183
886	32547	4146
887	32577	4108
888	32612	4072
889	32647	4035
890	32689	3999
891	32725	3962
892	32756	3924
893	32785	3887
894	32820	3850
895	32852	3813
896	32891	3776
897	32930	3740
898	32972	3704
899	33009	3667
900	33044	3630
901	33078	3593
902	33112	3556
903	33145	3519
904	33178	3482
905	33211	3445
906	33245	3408
907	33312	3375
908	33364	3340
909	33401	3303
910	33439	3266
911	33475	3230
912	33506	3192
913	33539	3155
914	33573	3118
915	33608	3081
916	33647	3045
917	33679	3008
918	33716	2971
919	33753	2935
920	33793	2898
921	33829	2861
922	33867	2825
923	33909	2789
924	33948	2752
925	33981	2715
926	34010	2678
927	34042	2641
928	34077	2604
929	34112	2567
930	34149	2530
931	34184	2494
932	34223	2457
933	34255	2420
934	34289	2383
935	34322	2346
